code,coding_system,entity,list_name,description
E241.13,Read,diagnostic,Substance misuse,Benzodiazepine dependence
E240.11,Read,diagnostic,Substance misuse,Heroin dependence
E24..11,Read,diagnostic,Substance misuse,Drug addiction
1J1..00,Read,symptom,Substance misuse,Suspected drug abuse
E252.00,Read,diagnostic,Substance misuse,Nondependent cannabis abuse
Eu11212,Read,diagnostic,Substance misuse,[X]Heroin addiction
1463.00,Read,diagnostic,Substance misuse,H/O: drug dependency
E24..00,Read,diagnostic,Substance misuse,Drug dependence
E246.00,Read,diagnostic,Substance misuse,Glue sniffing dependence
E253.00,Read,diagnostic,Substance misuse,Nondependent hallucinogen abuse
1J10.00,Read,symptom,Substance misuse,Suspected abuse soft drugs
8B23.11,Read,diagnostic,Substance misuse,Drug addictn therap-methadone
1J11.00,Read,symptom,Substance misuse,Suspected abuse hard drugs
8B23.00,Read,diagnostic,Substance misuse,Drug addiction therapy
E25..00,Read,diagnostic,Substance misuse,Nondependent abuse of drugs
E243.00,Read,diagnostic,Substance misuse,Cannabis type drug dependence
ZV6D700,Read,diagnostic,Substance misuse,[V]Drug abuse counselling and surveillance
13c..00,Read,symptom,Substance misuse,Drug user
8B23.13,Read,diagnostic,Substance misuse,Drug dependence therapy
Eu19211,Read,diagnostic,Substance misuse,[X]Drug addiction NOS
Eu15211,Read,diagnostic,Substance misuse,[X]Drug addiction-other stimul
Eu11211,Read,diagnostic,Substance misuse,[X]Drug addiction - opioids
Eu12.00,Read,diagnostic,Substance misuse,[X]Mental and behavioural disorders due to use cannabinoids
Eu19.00,Read,diagnostic,Substance misuse,[X]Men & behav disorder multiple drug use/psychoactive subst
SL85000,Read,diagnostic,Substance misuse,Cocaine poisoning
E256.00,Read,diagnostic,Substance misuse,Nondependent cocaine abuse
Eu14211,Read,diagnostic,Substance misuse,[X]Drug addiction - cocaine
E242.00,Read,diagnostic,Substance misuse,Cocaine type drug dependence
8HHL.00,Read,diagnostic,Substance misuse,Referral to community drug dependency team
146F.00,Read,diagnostic,Substance misuse,H/O: drug abuse
8H7x.00,Read,diagnostic,Substance misuse,Referral to drug abuse counsellor
E249.00,Read,diagnostic,Substance misuse,"Combined drug dependence, excluding opioids"
E253.12,Read,diagnostic,Substance misuse,LSD reaction
E25y.00,Read,diagnostic,Substance misuse,Nondependent other drug abuse
E240.00,Read,diagnostic,Substance misuse,Opioid type drug dependence
E02..00,Read,diagnostic,Substance misuse,Drug psychoses
E240.12,Read,diagnostic,Substance misuse,Methadone dependence
SL50100,Read,diagnostic,Substance misuse,Heroin poisoning
E240200,Read,diagnostic,Substance misuse,Episodic opioid dependence
E24A.00,Read,diagnostic,Substance misuse,Ecstasy type drug dependence
ZV11400,Read,diagnostic,Substance misuse,[V]Personal history of psychoactive substance abuse
9G2..11,Read,diagnostic,Substance misuse,Drug addict notific admin
Eu12211,Read,diagnostic,Substance misuse,[X]Drug addiction - cannabis
E245.11,Read,diagnostic,Substance misuse,LSD dependence
13c0.00,Read,symptom,Substance misuse,Injecting drug user
E02y400,Read,diagnostic,Substance misuse,Drug-induced personality disorder
E244.00,Read,diagnostic,Substance misuse,Amphetamine or other psychostimulant dependence
E257.00,Read,diagnostic,Substance misuse,Nondependent amphetamine or other psychostimulant abuse
9HC0.00,Read,diagnostic,Substance misuse,Initial substance misuse assessment
E240z00,Read,diagnostic,Substance misuse,Opioid drug dependence NOS
E243000,Read,diagnostic,Substance misuse,"Cannabis dependence, unspecified"
Eu19500,Read,diagnostic,Substance misuse,[X]Ment/behav dis mlti drug use/oth psyc sbs: psychotc dis
9G21.00,Read,diagnostic,Substance misuse,Drug addict notific to CMO
E247100,Read,diagnostic,Substance misuse,"Other specified drug dependence, continuous"
E259400,Read,symptom,Substance misuse,Misuse of prescription only drugs
E257200,Read,diagnostic,Substance misuse,"Nondependent amphetamine or psychostimulant abuse, episodic"
E252200,Read,diagnostic,Substance misuse,"Nondependent cannabis abuse, episodic"
Z192.00,Read,diagnostic,Substance misuse,Dependent drug detoxification
E252z00,Read,diagnostic,Substance misuse,Nondependent cannabis abuse NOS
Eu11311,Read,diagnostic,Substance misuse,"[X]Cold turkey, opiate withdrawal"
E244z00,Read,diagnostic,Substance misuse,Amphetamine or psychostimulant dependence NOS
E244.12,Read,diagnostic,Substance misuse,Stimulant dependence
E242100,Read,diagnostic,Substance misuse,"Cocaine dependence, continuous"
Eu13211,Read,diagnostic,Substance misuse,[X]Drug addiction- sedative / hypnotics
E242000,Read,diagnostic,Substance misuse,"Cocaine dependence, unspecified"
13cE.00,Read,diagnostic,Substance misuse,Prolonged high dose use of cannabis
E02z.00,Read,diagnostic,Substance misuse,Drug psychosis NOS
E248.00,Read,diagnostic,Substance misuse,Combined opioid with other drug dependence
E255.00,Read,diagnostic,Substance misuse,Nondependent opioid abuse
Eu11700,Read,diagnostic,Substance misuse,[X]Men & beh dis due opioids: resid & late-onset psychot dis
U205.11,Read,symptom,Substance misuse,[X]Overdose - heroin
13cH.00,Read,diagnostic,Substance misuse,Persistent substance misuse
E02yz00,Read,diagnostic,Substance misuse,Other drug psychoses NOS
1283.00,Read,diagnostic,Substance misuse,FH: Drug dependency
8B2N.00,Read,diagnostic,Substance misuse,Drug addiction detoxification therapy - methadone
E24z.00,Read,diagnostic,Substance misuse,Drug dependence NOS
9G2..00,Read,diagnostic,Substance misuse,Drug addiction notification
Eu1..00,Read,diagnostic,Substance misuse,[X]Mental and behavioural disorders due to psychoactive subs
13c1.00,Read,symptom,Substance misuse,Intravenous drug user
9N4i.00,Read,diagnostic,Substance misuse,DNA - Did not attend substance misuse clinic
146C.00,Read,diagnostic,Substance misuse,Failed heroin detoxification
8BAX.00,Read,diagnostic,Substance misuse,Drug dependence home detoxification
8B2P.00,Read,diagnostic,Substance misuse,Drug addiction maintenance therapy - methadone
ZV11500,Read,diagnostic,Substance misuse,[V]Personal history of drug abuse by injection
7P22000,Read,diagnostic,Substance misuse,Delivery of rehabilitation for drug addiction
9HC..00,Read,diagnostic,Substance misuse,Substance misuse monitoring
Eu18.00,Read,diagnostic,Substance misuse,[X]Mental & behav disorders due to use of volatile solvents
SL97000,Read,diagnostic,Substance misuse,Amfetamine poisoning
Eu14.00,Read,diagnostic,Substance misuse,[X]Mental and behavioural disorders due to use of cocaine
Eu1A.00,Read,diagnostic,Substance misuse,[X]Mental and behavioural disorders due use of crack cocaine
8BAW.00,Read,diagnostic,Substance misuse,Drug dependence self detoxification
E257.11,Read,diagnostic,Substance misuse,Psychostimulant abuse
SL50.12,Read,diagnostic,Substance misuse,Opiate poisoning
E240.14,Read,diagnostic,Substance misuse,Opium dependence
E245.00,Read,diagnostic,Substance misuse,Hallucinogen dependence
E256000,Read,diagnostic,Substance misuse,"Nondependent cocaine abuse, unspecified"
E243z00,Read,diagnostic,Substance misuse,Cannabis drug dependence NOS
Eu15200,Read,diagnostic,Substance misuse,[X]Mental and behav dis oth stim inc caffein: dependnce synd
Eu18211,Read,diagnostic,Substance misuse,[X]Drug addiction - solvent
E246200,Read,diagnostic,Substance misuse,"Glue sniffing dependence, episodic"
E259z00,Read,diagnostic,Substance misuse,Nondependent mixed drug abuse NOS
E242z00,Read,diagnostic,Substance misuse,Cocaine drug dependence NOS
Eu11200,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to use opioids: dependence syndr
9k5..00,Read,diagnostic,Substance misuse,Drug misuse - enhanced services administration
Eu16711,Read,diagnostic,Substance misuse,[X]Post hallucinogen perception disorder
Eu11300,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to use opioids: withdrawal state
SL50500,Read,diagnostic,Substance misuse,Morphine poisoning
E243.13,Read,diagnostic,Substance misuse,Marihuana dependence
E244000,Read,diagnostic,Substance misuse,"Amphetamine or psychostimulant dependence, unspecified"
SL97200,Read,diagnostic,Substance misuse,Ecstasy poisoning
Eu11100,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to use of opioids: harmful use
13cB.00,Read,diagnostic,Substance misuse,Misuses drugs orally
E240000,Read,diagnostic,Substance misuse,Unspecified opioid dependence
E246000,Read,diagnostic,Substance misuse,"Glue sniffing dependence, unspecified"
E244100,Read,diagnostic,Substance misuse,"Amphetamine or psychostimulant dependence, continuous"
Eu12500,Read,diagnostic,Substance misuse,[X]Mental & behav dis due to cannabinoids: psychotic disordr
E257000,Read,diagnostic,Substance misuse,"Nondependent amphetamine/psychostimulant abuse, unspecified"
E242200,Read,diagnostic,Substance misuse,"Cocaine dependence, episodic"
E252100,Read,diagnostic,Substance misuse,"Nondependent cannabis abuse, continuous"
E255000,Read,diagnostic,Substance misuse,"Nondependent opioid abuse, unspecified"
E243.11,Read,diagnostic,Substance misuse,Hashish dependence
E247z00,Read,diagnostic,Substance misuse,Other specified drug dependence NOS
13cF.00,Read,diagnostic,Substance misuse,Preoccupied with substance misuse
Eu13.00,Read,diagnostic,Substance misuse,[X]Mental and behavioural dis due use sedatives/hypnotics
L183.00,Read,diagnostic,Substance misuse,"Drug dependence in pregnancy, childbirth and the puerperium"
E244.11,Read,diagnostic,Substance misuse,Psychostimulant dependence
E252000,Read,diagnostic,Substance misuse,"Nondependent cannabis abuse, unspecified"
8BAc.00,Read,diagnostic,Substance misuse,Substance misuse management stopped - self withdrawal
E243100,Read,diagnostic,Substance misuse,"Cannabis dependence, continuous"
E240100,Read,diagnostic,Substance misuse,Continuous opioid dependence
Eu15.00,Read,diagnostic,Substance misuse,[X]Mental & behav disorder due other stimulants inc caffein
E257300,Read,diagnostic,Substance misuse,Nondependent amphetamine/psychostimulant abuse in remission
8B2Q.00,Read,diagnostic,Substance misuse,Drug addiction maintenance therapy - buprenorphine
E256200,Read,diagnostic,Substance misuse,"Nondependent cocaine abuse, episodic"
Eu13200,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to seds/hypntcs: dependence synd
E243300,Read,diagnostic,Substance misuse,Cannabis dependence in remission
Eu19200,Read,diagnostic,Substance misuse,[X]Mental and behav dis mlti/oth psych sbs: dependence syndr
9HC2.00,Read,diagnostic,Substance misuse,Substance misuse clinical management plan agreed
E257.12,Read,diagnostic,Substance misuse,Stimulant abuse
E244300,Read,diagnostic,Substance misuse,Amphetamine or psychostimulant dependence in remission
E256100,Read,diagnostic,Substance misuse,"Nondependent cocaine abuse, continuous"
E258.00,Read,diagnostic,Substance misuse,Nondependent antidepressant type drug abuse
Eu11.00,Read,diagnostic,Substance misuse,[X]Mental and behavioural disorders due to use of opioids
Eu14100,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to use of cocaine: harmful use
Eu16211,Read,diagnostic,Substance misuse,[X]Drug addiction - hallucinogen
E257z00,Read,diagnostic,Substance misuse,Nondependent amphetamine or psychostimulant abuse NOS
E253z00,Read,diagnostic,Substance misuse,Nondependent hallucinogen abuse NOS
Eu18z00,Read,diagnostic,Substance misuse,[X]Ment/behav dis due use vol solvents: unsp ment/behav dis
Eu14500,Read,diagnostic,Substance misuse,[X]Mental & behav dis due to use cocaine: psychotic disorder
E244200,Read,diagnostic,Substance misuse,"Amphetamine or psychostimulant dependence, episodic"
13c7.00,Read,symptom,Substance misuse,Current drug user
Eu16.00,Read,diagnostic,Substance misuse,[X]Mental and behavioural disorders due to use hallucinogens
Eu14200,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to use cocaine: dependence syndr
Eu12100,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to use cannabinoids: harmful use
E241200,Read,diagnostic,Substance misuse,"Hypnotic or anxiolytic dependence, episodic"
Eu11500,Read,diagnostic,Substance misuse,[X]Mental & behav dis due to use opioids: psychotic disorder
8B2R.00,Read,diagnostic,Substance misuse,Drug addiction detoxification therapy - buprenorphine
E02y.00,Read,diagnostic,Substance misuse,Other drug psychoses
