code,coding_system,entity,list_name,description
1B13.00,Read,symptom,Anxiety and neurotic disorders,Anxiousness
E200111,Read,diagnostic,Anxiety and neurotic disorders,Panic attack
1B12.12,Read,symptom,Anxiety and neurotic disorders,Tension - nervous
E200.00,Read,diagnostic,Anxiety and neurotic disorders,Anxiety states
E200300,Read,diagnostic,Anxiety and neurotic disorders,Anxiety with depression
E20z.11,Read,diagnostic,Anxiety and neurotic disorders,Nervous breakdown
Eu41111,Read,diagnostic,Anxiety and neurotic disorders,[X]Anxiety neurosis
E207.00,Read,diagnostic,Anxiety and neurotic disorders,Hypochondriasis
E202B00,Read,diagnostic,Anxiety and neurotic disorders,Cancer phobia
E205.11,Read,symptom,Anxiety and neurotic disorders,Nervous exhaustion
E202800,Read,diagnostic,Anxiety and neurotic disorders,Claustrophobia
E200400,Read,diagnostic,Anxiety and neurotic disorders,Chronic anxiety
E202.00,Read,diagnostic,Anxiety and neurotic disorders,Phobic disorders
E203100,Read,diagnostic,Anxiety and neurotic disorders,Obsessional neurosis
E201.00,Read,diagnostic,Anxiety and neurotic disorders,Hysteria
E202000,Read,diagnostic,Anxiety and neurotic disorders,Phobia unspecified
E202C00,Read,diagnostic,Anxiety and neurotic disorders,Dental phobia
R2y2.00,Read,symptom,Anxiety and neurotic disorders,[D]Nervousness
Eu40000,Read,diagnostic,Anxiety and neurotic disorders,[X]Agoraphobia
1B14.11,Read,symptom,Anxiety and neurotic disorders,Tenseness - symptom
E264200,Read,diagnostic,Anxiety and neurotic disorders,Cyclical vomiting - psychogenic
E202100,Read,diagnostic,Anxiety and neurotic disorders,Agoraphobia with panic attacks
E203.00,Read,diagnostic,Anxiety and neurotic disorders,Obsessive-compulsive disorders
E205.00,Read,diagnostic,Anxiety and neurotic disorders,Neurasthenia - nervous debility
1466.00,Read,symptom,Anxiety and neurotic disorders,H/O: anxiety state
E201100,Read,diagnostic,Anxiety and neurotic disorders,Hysterical blindness
1B12.11,Read,symptom,Anxiety and neurotic disorders,'Nerves'
E20y100,Read,diagnostic,Anxiety and neurotic disorders,Writer's cramp neurosis
E264400,Read,diagnostic,Anxiety and neurotic disorders,Psychogenic dyspepsia
E200100,Read,diagnostic,Anxiety and neurotic disorders,Panic disorder
Eu41012,Read,diagnostic,Anxiety and neurotic disorders,[X]Panic state
E201z11,Read,diagnostic,Anxiety and neurotic disorders,Aphonia - hysterical
E201612,Read,diagnostic,Anxiety and neurotic disorders,Globus hystericus
E202A00,Read,diagnostic,Anxiety and neurotic disorders,Fear of flying
Eu43100,Read,diagnostic,Anxiety and neurotic disorders,[X]Post - traumatic stress disorder
E201700,Read,diagnostic,Anxiety and neurotic disorders,Hysterical amnesia
E200z00,Read,diagnostic,Anxiety and neurotic disorders,Anxiety state NOS
E200500,Read,diagnostic,Anxiety and neurotic disorders,Recurrent anxiety
E200200,Read,diagnostic,Anxiety and neurotic disorders,Generalised anxiety disorder
E201800,Read,diagnostic,Anxiety and neurotic disorders,Hysterical fugue
E264000,Read,diagnostic,Anxiety and neurotic disorders,Psychogenic aerophagy
E26z.00,Read,diagnostic,Anxiety and neurotic disorders,Psychosomatic disorder NOS
E20..00,Read,diagnostic,Anxiety and neurotic disorders,Neurotic disorders
Eu42.00,Read,diagnostic,Anxiety and neurotic disorders,[X]Obsessive - compulsive disorder
E206.00,Read,diagnostic,Anxiety and neurotic disorders,Depersonalisation syndrome
1B1H.11,Read,symptom,Anxiety and neurotic disorders,Fear
Eu41.00,Read,diagnostic,Anxiety and neurotic disorders,[X]Other anxiety disorders
E203000,Read,diagnostic,Anxiety and neurotic disorders,Compulsive neurosis
1B13.11,Read,symptom,Anxiety and neurotic disorders,Anxiousness - symptom
E202E00,Read,diagnostic,Anxiety and neurotic disorders,Fear of pregnancy
Eu41011,Read,diagnostic,Anxiety and neurotic disorders,[X]Panic attack
E200000,Read,diagnostic,Anxiety and neurotic disorders,Anxiety state unspecified
Eu40z11,Read,diagnostic,Anxiety and neurotic disorders,[X]Phobia NOS
Eu45200,Read,diagnostic,Anxiety and neurotic disorders,[X]Hypochondriacal disorder
Eu41211,Read,diagnostic,Anxiety and neurotic disorders,[X]Mild anxiety depression
Eu43015,Read,diagnostic,Anxiety and neurotic disorders,[X]Psychic shock
Eu41000,Read,diagnostic,Anxiety and neurotic disorders,[X]Panic disorder [episodic paroxysmal anxiety]
2259.00,Read,symptom,Anxiety and neurotic disorders,O/E - nervous
8G94.00,Read,diagnostic,Anxiety and neurotic disorders,Anxiety management training
Eu46100,Read,diagnostic,Anxiety and neurotic disorders,[X]Depersonalization - derealization syndrome
Eu40.00,Read,diagnostic,Anxiety and neurotic disorders,[X]Phobic anxiety disorders
Eu46011,Read,diagnostic,Anxiety and neurotic disorders,[X]Fatigue syndrome
E2...00,Read,diagnostic,Anxiety and neurotic disorders,"Neurotic, personality and other nonpsychotic disorders"
Eu40200,Read,diagnostic,Anxiety and neurotic disorders,[X]Specific (isolated) phobias
E202.12,Read,diagnostic,Anxiety and neurotic disorders,Phobic anxiety
E264311,Read,diagnostic,Anxiety and neurotic disorders,Spurious diarrhoea
Eu41100,Read,diagnostic,Anxiety and neurotic disorders,[X]Generalized anxiety disorder
E202D00,Read,diagnostic,Anxiety and neurotic disorders,Fear of death
R2y2.12,Read,symptom,Anxiety and neurotic disorders,[D]Nervous tension
Eu45214,Read,diagnostic,Anxiety and neurotic disorders,[X]Hypochondriasis
Z7CG400,Read,symptom,Anxiety and neurotic disorders,Flashbacks
Eu40213,Read,diagnostic,Anxiety and neurotic disorders,[X]Claustrophobia
Eu46y13,Read,diagnostic,Anxiety and neurotic disorders,"[X]Occupational neurosis, including writer's cramp"
Eu44511,Read,diagnostic,Anxiety and neurotic disorders,[X]Pseudoseizures
Eu40100,Read,diagnostic,Anxiety and neurotic disorders,[X]Social phobias
146G.00,Read,diagnostic,Anxiety and neurotic disorders,H/O: agoraphobia
1B1V.00,Read,symptom,Anxiety and neurotic disorders,C/O - panic attack
Eu41200,Read,diagnostic,Anxiety and neurotic disorders,[X]Mixed anxiety and depressive disorder
Eu44411,Read,diagnostic,Anxiety and neurotic disorders,[X]Psychogenic aphonia
Eu45500,Read,diagnostic,Anxiety and neurotic disorders,[X]Globus pharyngeus
Eu40300,Read,diagnostic,Anxiety and neurotic disorders,[X]Needle phobia
Eu45211,Read,diagnostic,Anxiety and neurotic disorders,[X]Body dysmorphic disorder
Eu40214,Read,diagnostic,Anxiety and neurotic disorders,[X]Simple phobia
Eu45316,Read,diagnostic,Anxiety and neurotic disorders,[X]Psychogenic cough
Eu45322,Read,diagnostic,Anxiety and neurotic disorders,[X]Psychogenic hyperventilat
E202200,Read,diagnostic,Anxiety and neurotic disorders,Agoraphobia without mention of panic attacks
2258.00,Read,symptom,Anxiety and neurotic disorders,O/E - anxious
E202z00,Read,diagnostic,Anxiety and neurotic disorders,Phobic disorder NOS
E20z.00,Read,diagnostic,Anxiety and neurotic disorders,Neurotic disorder NOS
Eu40012,Read,diagnostic,Anxiety and neurotic disorders,[X]Panic disorder with agoraphobia
E262z00,Read,diagnostic,Anxiety and neurotic disorders,Psychogenic cardiovascular symptom NOS
E260z00,Read,diagnostic,Anxiety and neurotic disorders,Psychogenic musculoskeletal symptoms NOS
