code,coding_system,entity,list_name,description
E104.00,Read,diagnostic,Non-affective psychotic disorders,Acute schizophrenic episode
Eu2z.11,Read,diagnostic,Non-affective psychotic disorders,[X]Psychosis NOS
E10..00,Read,diagnostic,Non-affective psychotic disorders,Schizophrenic disorders
E103.00,Read,diagnostic,Non-affective psychotic disorders,Paranoid schizophrenia
1B1E.00,Read,symptom,Non-affective psychotic disorders,Hallucinations
1BH..00,Read,diagnostic,Non-affective psychotic disorders,Delusions
Eu22011,Read,diagnostic,Non-affective psychotic disorders,[X]Paranoid psychosis
R001.00,Read,symptom,Non-affective psychotic disorders,[D]Hallucinations
E13z.11,Read,diagnostic,Non-affective psychotic disorders,Psychotic episode NOS
E121.00,Read,diagnostic,Non-affective psychotic disorders,Chronic paranoid psychosis
E100200,Read,diagnostic,Non-affective psychotic disorders,Chronic schizophrenic
E12..00,Read,diagnostic,Non-affective psychotic disorders,Paranoid states
285..11,Read,diagnostic,Non-affective psychotic disorders,"Psychotic condition, insight present"
Eu22015,Read,diagnostic,Non-affective psychotic disorders,[X]Paranoia
1464.00,Read,diagnostic,Non-affective psychotic disorders,H/O: schizophrenia
E132.00,Read,diagnostic,Non-affective psychotic disorders,Reactive confusion
E10z.00,Read,diagnostic,Non-affective psychotic disorders,Schizophrenia NOS
Eu0z.12,Read,symptom,Non-affective psychotic disorders,[X]Symptomatic psychosis NOS
E103z00,Read,diagnostic,Non-affective psychotic disorders,Paranoid schizophrenia NOS
Eu22012,Read,diagnostic,Non-affective psychotic disorders,[X]Paranoid state
Eu2z.00,Read,diagnostic,Non-affective psychotic disorders,[X]Unspecified nonorganic psychosis
Eu23200,Read,diagnostic,Non-affective psychotic disorders,[X]Acute schizophrenia-like psychotic disorder
Eu24.13,Read,diagnostic,Non-affective psychotic disorders,[X]Induced psychotic disorder
R001400,Read,symptom,Non-affective psychotic disorders,[D]Visual hallucinations
R001000,Read,symptom,Non-affective psychotic disorders,"[D]Hallucinations, auditory"
225E.00,Read,diagnostic,Non-affective psychotic disorders,O/E - paranoid delusions
E12z.00,Read,diagnostic,Non-affective psychotic disorders,Paranoid psychosis NOS
146H.00,Read,diagnostic,Non-affective psychotic disorders,H/O: psychosis
E120.00,Read,diagnostic,Non-affective psychotic disorders,Simple paranoid state
E13z.00,Read,diagnostic,Non-affective psychotic disorders,Nonorganic psychosis NOS
E122.00,Read,diagnostic,Non-affective psychotic disorders,Paraphrenia
E133.00,Read,diagnostic,Non-affective psychotic disorders,Acute paranoid reaction
F481K00,Read,symptom,Non-affective psychotic disorders,Visual hallucinations
E100000,Read,diagnostic,Non-affective psychotic disorders,Unspecified schizophrenia
E1...00,Read,diagnostic,Non-affective psychotic disorders,Non-organic psychoses
E13y.00,Read,diagnostic,Non-affective psychotic disorders,Other reactive psychoses
E1y..00,Read,diagnostic,Non-affective psychotic disorders,Other specified non-organic psychoses
Eu20000,Read,diagnostic,Non-affective psychotic disorders,[X]Paranoid schizophrenia
Eu2..00,Read,diagnostic,Non-affective psychotic disorders,"[X]Schizophrenia, schizotypal and delusional disorders"
E130.11,Read,diagnostic,Non-affective psychotic disorders,Psychotic reactive depression
1BH..11,Read,diagnostic,Non-affective psychotic disorders,Delusion
Eu20y13,Read,diagnostic,Non-affective psychotic disorders,[X]Schizophrenifrm psychos NOS
R001z00,Read,symptom,Non-affective psychotic disorders,[D]Hallucinations NOS
E13..11,Read,diagnostic,Non-affective psychotic disorders,Reactive psychoses
Eu20211,Read,diagnostic,Non-affective psychotic disorders,[X]Catatonic stupor
